id,bedrooms,bathrooms
1452180073884959095,7,7.0
1516539630682569127,5,7.0
1405118804682423685,6,6.0
1478960885626856274,5,5.0
1071535243607304122,3,2.5
1205569424125561545,4,4.0
1616803323828759267,6,5.5
1440967574825585639,,
1418782925084058337,5,6.0
43509788,5,3.0
1611679336986092046,7,6.0
1294033989900300209,5,6.0
1218690711283000676,5,6.0
1491129148228091684,5,5.0
1489397476289841313,3,1.0
1457037256563088985,3,2.0
1445646528854461805,4,
1574538109548445612,6,7.0
1564804098462088891,8,12.0
901903775152207502,3,2.0
1122134810860842771,3,3.0
1294049452148919260,7,7.0
1610621779690251075,4,2.0
827363221421986685,3,2.0
1499641239286051817,6,5.0
1327706571366113646,4,5.0
1287671116502290133,3,3.0
574671355984195579,3,1.5
1582594174336838571,7,8.0
1444478893402699664,4,3.0
1533520482498853631,7,8.0
43509941,5,4.0
817450906697134613,4,3.0
1526749145558499873,5,4.0
1625234505264381457,2,2.0
1184876478606235558,6,5.0
921041127046644867,5,6.0
1033874472880546491,5,5.0
1440898086586976039,,
1272502325164181183,5,7.0
1532530398314038216,5,8.0
1289781577859865793,5,6.0
1617597066778325822,3,2.0
950976395331448891,9,12.0
1519554024187806895,4,2.0
1478797865239332966,2,1.0
769589744085602122,,
1316580252211000461,2,1.0
1432551500439416435,10,18.0
915286149929110903,8,6.0
1144794481310501818,2,2.0
1486127003852299275,5,7.0
1446422044732559204,5,5.5
1536158377257475646,5,6.5
1401431850215627441,6,5.0
1617776222945722269,4,3.5
1659383907516482890,6,5.0
1459312341158792838,2,2.5
1443504841871221399,2,2.0
1531939345241143002,7,9.0
22699695,5,5.0
1586515552644876714,4,6.0
1614535123416058786,6,4.0
1445646637252195144,4,
1533251126747083639,6,6.5
1584239528075360592,6,9.0
1227334682807627505,3,1.0
1646534430539307076,4,4.0
1562543549271907985,5,5.0
1235628381678495442,2,1.0
1294785306366009065,5,5.0
1582648511499746443,,
1557490459076177745,6,8.5
1469720738734772480,5,5.0
1663077126921723861,2,1.0
1508829161605881526,3,4.0
48921273,1,
1512989738858906315,7,7.0
937731267495715175,3,3.5
1464002704784013982,3,2.0
895713563277225420,3,5.0
1192036094779793590,4,4.0
582378495847238100,3,3.0
30192356,2,1.0
1294785652344118552,5,5.0
37019965,3,3.0
1613747481179856882,4,2.0
1516562826660497619,6,4.0
1486133315377024248,6,8.0
1237038847786696282,4,3.5
1663283542397666436,,
1378514346513857875,4,3.0
1618830333249037414,5,5.0
1589656204275030763,7,10.0
1512149380519707143,5,5.0
1528197606062246603,5,3.5
1199981606575500211,8,11.0
1359424298481801473,4,4.0
1656554585993706054,3,3.0
915257544596805795,5,6.5
17557434,2,2.5
1305199592577271557,5,6.0
42837243,3,3.0
1612360935058078370,6,6.0
1557462941385564793,2,1.0
1512490753306617754,6,4.0
1149010951297250321,7,4.0
1615388235129112129,3,2.0
1512149212991607973,5,5.0
1504234528836825783,6,7.0
1579451470491723940,1,
1048361463194323622,1,1.0
980949884076025140,1,1.0
1613302774809465872,3,3.0
1176993323789019599,5,3.0
1606001718595835543,2,2.0
1042267008410146028,2,1.0
1446453285013975283,,
1360361550986322558,5,7.0
1403352409719548548,4,2.0
1416404953594448126,4,2.0
1583383730365544848,3,1.5
1530283528076762842,6,5.0
1150577455375633849,3,2.5
1577988958474149016,5,6.0
1338161607315089684,4,3.0
1584197650302710091,5,8.0
1471185594805842352,3,2.5
1231653058739693540,3,2.5
1606000121406098996,3,3.5
1308904711746092153,0 (studio),1.0
1482831691532989712,2,3.0
1328533267625737787,1,1.0
990819819239551225,2,1.0
1140397074391194529,1,1.0
548357234359742514,1,1.5
1211517904705642228,3,3.0
1386837152554091839,3,2.0
1384852378701047247,1,1.0
682690250626597918,1,2.0
1005550448699835917,4,8.0
1386837091935393566,6,5.0
1197914284641397138,2,1.0
741879738876441933,2,1.5
1592040413836682723,1,1.0
1538568289441979831,3,2.0
1521920347791839111,2,1.0
1086034169094747543,2,1.0
1631384019096963391,,
1367296864393571550,1,2.0
1266720263498449629,3,1.5
1645810248468090517,3,2.0
1498754373289779521,2,2.0
1016436443744428874,3,2.5
955483694118034334,2,3.0
1527397043296637590,4,2.0
1219831683203707022,3,3.0
21705643,2,2.0
1384849964527495743,0 (studio),1.0
1503583342792353981,4,4.5
1424519240566200741,6,4.5
1246420010937198295,2,2.0
1591138045124712482,3,2.0
1513115415528048355,3,3.0
1160654349423127406,1,2.0
1585066826397290820,4,3.0
1608544760873304610,2,2.5
1186304038561754960,3,2.0
1239185343752708475,2,1.0
926187713279264652,3,3.0
